Timestamp,Event,FPS,Edge_Latency_ms,WiFi_Latency_ms,Total_Latency_ms
05:47:18.713,COMMAND_SENT,20.69,34.58,31.66,66.24
05:47:24.304,COMMAND_SENT,19.77,36.17,128.81,164.99
05:47:29.669,COMMAND_SENT,21.42,36.15,45.06,81.21
05:47:35.870,COMMAND_SENT,21.64,34.00,158.31,192.31
05:47:41.217,COMMAND_SENT,20.45,36.59,61.44,98.03
05:49:09.074,COMMAND_SENT,20.65,36.87,70.50,107.36
05:49:16.021,COMMAND_SENT,21.02,34.13,29.23,63.36
05:49:40.894,COMMAND_SENT,21.36,33.42,91.65,125.07
05:49:58.837,COMMAND_SENT,10.33,35.16,26.91,62.07
05:50:10.621,COMMAND_SENT,21.40,35.19,187.74,222.94
05:50:16.528,COMMAND_SENT,21.50,34.71,90.55,125.26
05:50:22.362,COMMAND_SENT,20.96,34.46,109.05,143.51
05:50:27.886,COMMAND_SENT,21.66,33.47,35.57,69.04
05:50:32.949,COMMAND_SENT,21.55,34.96,23.64,58.60
05:50:38.027,COMMAND_SENT,20.63,35.33,34.00,69.33
05:50:44.585,COMMAND_SENT,21.65,35.47,127.04,162.51
05:50:50.376,COMMAND_SENT,20.96,34.55,125.81,160.36
05:50:55.839,COMMAND_SENT,21.52,44.58,440.51,485.09
05:51:00.657,COMMAND_SENT,21.16,48.29,74.44,122.73
05:51:06.197,COMMAND_SENT,21.29,37.62,68.16,105.78
05:51:12.864,COMMAND_SENT,21.04,34.05,144.40,178.45
05:51:20.624,COMMAND_SENT,21.10,33.92,140.05,173.97
05:51:26.691,COMMAND_SENT,20.91,35.09,171.24,206.32
05:51:32.605,COMMAND_SENT,21.73,34.94,114.83,149.76
05:51:38.551,COMMAND_SENT,21.46,35.25,221.79,257.04
05:51:43.997,COMMAND_SENT,21.04,36.22,185.49,221.71
05:51:49.327,COMMAND_SENT,17.45,44.65,71.98,116.63
05:51:56.427,COMMAND_SENT,20.32,33.51,236.01,269.52
05:52:03.750,COMMAND_SENT,20.80,38.12,171.30,209.42
05:52:09.307,COMMAND_SENT,20.37,40.80,176.55,217.35
05:52:14.392,COMMAND_SENT,21.09,35.06,174.86,209.92
05:52:20.627,COMMAND_SENT,18.22,45.63,83.52,129.16
05:52:28.720,COMMAND_SENT,21.21,34.70,107.76,142.46
05:52:34.054,COMMAND_SENT,19.33,33.66,29.44,63.10
05:52:40.187,COMMAND_SENT,16.68,33.47,42.91,76.38
05:52:45.410,COMMAND_SENT,20.78,35.07,138.29,173.37
05:52:55.029,COMMAND_SENT,21.65,35.59,40.10,75.68
05:53:00.791,COMMAND_SENT,20.15,36.11,116.99,153.10
05:53:06.153,COMMAND_SENT,20.17,36.83,29.03,65.86
06:32:21.916,COMMAND_SENT,17.54,46.74,194.77,241.52
06:32:28.153,COMMAND_SENT,17.44,45.02,145.79,190.81
06:32:34.678,COMMAND_SENT,21.28,34.71,109.49,144.20
06:32:40.569,COMMAND_SENT,20.48,34.49,125.38,159.87
06:32:45.992,COMMAND_SENT,17.68,45.97,201.56,247.53
06:32:51.351,COMMAND_SENT,20.89,36.49,79.91,116.40
06:32:57.513,COMMAND_SENT,17.29,48.99,321.09,370.07
06:33:02.734,COMMAND_SENT,20.02,34.56,103.52,138.08
06:33:08.984,COMMAND_SENT,20.76,41.38,137.63,179.01
06:33:18.195,COMMAND_SENT,18.34,45.83,69.62,115.45
06:33:24.361,COMMAND_SENT,17.87,42.25,125.59,167.84
06:33:35.112,COMMAND_SENT,16.95,55.48,56.06,111.54
06:33:42.668,COMMAND_SENT,18.10,45.05,280.52,325.57
06:33:47.892,COMMAND_SENT,21.29,33.48,83.10,116.58
06:33:54.652,COMMAND_SENT,20.67,34.81,61.01,95.82
06:34:02.639,COMMAND_SENT,21.28,35.15,316.39,351.54
06:34:08.372,COMMAND_SENT,20.59,34.15,102.66,136.81
06:34:15.062,COMMAND_SENT,16.41,48.15,366.91,415.06
06:34:20.253,COMMAND_SENT,15.78,43.46,122.31,165.77
06:34:25.311,COMMAND_SENT,20.14,34.79,93.67,128.45
06:34:30.695,COMMAND_SENT,18.00,51.84,65.19,117.03
06:34:36.189,COMMAND_SENT,20.36,36.71,141.31,178.02
